appid,name,recommendations,is_free,price,api_currency,genre,free_or_paid,price_efficiency
1962663,Call of Duty®: Warzone™,9566,True,0.0,,Action,Free,9566.0
1783560,The Last Caretaker,4770,False,34.99,USD,Action,Paid,132.5368157821617
2781620,Risk of Rain 2: Alloyed Collective,3015,False,14.99,USD,Action,Paid,188.55534709193245
2537590,Microsoft Flight Simulator 2024,16170,False,69.99,USD,Simulation,Paid,227.7785603606142
306130,The Elder Scrolls® Online,130732,False,19.99,USD,Action,Paid,6228.29919009052
1922560,Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,35308,False,29.99,USD,Action,Paid,1139.3352694417554
613100,House Flipper,88367,False,1.49,USD,Indie,Paid,35488.755020080316
1091500,Cyberpunk 2077,811492,False,44.99,USD,RPG,Paid,17644.966297021092
1144200,Ready or Not,236278,False,49.99,USD,Action,Paid,4633.810551088449
3450310,Europa Universalis V,18465,False,35.99,USD,Strategy,Paid,499.1889699918897
1364780,Street Fighter™ 6,42044,False,19.99,USD,Action,Paid,2003.049070986184
2383200,PATAPON 1+2 REPLAY,1641,False,19.79,USD,Action,Paid,78.93217893217894
284160,BeamNG.drive,332306,False,24.99,USD,Racing,Paid,12785.917660638708
1527950,Wartales,29396,False,34.99,USD,Adventure,Paid,816.7824395665463
2169200,Sniper Elite: Resistance,3579,False,29.99,USD,Action,Paid,115.4888673765731
2300320,Farming Simulator 25,28444,False,29.99,USD,Simulation,Paid,917.8444659567602
2840770,Avatar: Frontiers of Pandora™,6073,False,29.99,USD,Action,Paid,195.96644078735076
529340,Victoria 3,38988,False,14.99,USD,Simulation,Paid,2438.2739212007505
1203620,Enshrouded,80584,False,29.99,USD,Action,Paid,2600.322684737012
2927200,Mount & Blade II: Bannerlord - War Sails,3138,False,24.99,USD,Action,Paid,120.73874567141209
2183900,"Warhammer 40,000: Space Marine 2",139048,False,59.99,USD,Action,Paid,2279.8491555992787
1407200,World of Tanks,512,True,0.0,,Action,Free,512.0
1030300,Hollow Knight: Silksong,338961,False,19.99,USD,Action,Paid,16148.689852310625
1599340,Lost Ark,65217,True,0.0,,Action,Free,65217.0
3228520,Clair Obscur: Expedition 33 – Deluxe Edition Upgrade,606,False,8.79,USD,Action,Paid,61.89989785495404
29720,Guild Wars® Reforged,2021,False,19.99,USD,Action,Paid,96.28394473558838
322170,Geometry Dash,449357,False,4.99,USD,Action,Paid,75017.86310517529
489830,The Elder Scrolls V: Skyrim Special Edition,201015,False,39.99,USD,RPG,Paid,4904.000975847767
1601580,Frostpunk 2,18387,False,26.99,USD,Simulation,Paid,656.9131832797428
3274580,Anno 117: Pax Romana,8226,False,47.99,USD,Simulation,Paid,167.91181873851806
750920,Shadow of the Tomb Raider: Definitive Edition,66447,False,2.0,USD,Action,Paid,22149.0
454650,DRAGON BALL XENOVERSE 2,40827,False,5.99,USD,Action,Paid,5840.772532188841
2879840,Escape Simulator 2,2491,False,15.99,USD,Adventure,Paid,146.61565626839317
1326470,Sons Of The Forest,249257,False,29.99,USD,Action,Paid,8043.142949338497
1285190,Borderlands 4,50382,False,69.99,USD,Action,Paid,709.7055923369489
281990,Stellaris,136402,False,39.99,USD,Simulation,Paid,3327.689680409856
1172620,Sea of Thieves: 2025 Edition,313497,False,27.99,USD,Action,Paid,10813.970334598138
1158310,Crusader Kings III,89646,False,29.99,USD,Rol,Paid,2892.7395934172314
2101960,Cronos: The New Dawn,5142,False,44.99,USD,Action,Paid,111.80691454664057
3846120,MineMogul,393,False,12.74,USD,Indie,Paid,28.602620087336245
1263240,Skate Story,663,False,19.99,USD,Action,Paid,31.58646974749881
1313140,Cult of the Lamb,96139,False,12.49,USD,Action,Paid,7126.686434395849
1286830,STAR WARS™: The Old Republic™,444,True,0.0,,Massively Multiplayer,Free,444.0
2385530,PGA TOUR 2K25,2545,False,28.0,USD,RPG,Paid,87.75862068965517
394360,Hearts of Iron IV,263244,False,49.99,USD,Simulation,Paid,5162.659344969602
1096530,Solasta: Crown of the Magister,18479,False,7.49,USD,Adventure,Paid,2176.5606595995287
1196590,Resident Evil Village,90665,False,7.49,USD,Action,Paid,10679.034157832744
678960,CODE VEIN,44423,False,8.99,USD,Action,Paid,4446.746746746747
2525380,Tomb Raider IV-VI Remastered,1248,False,14.99,USD,Action,Paid,78.04878048780488
3014320,OCTOPATH TRAVELER 0,942,False,49.99,USD,RPG,Paid,18.474210629535204
1392860,Little Nightmares III,8226,False,39.59,USD,Adventure,Paid,202.66075388026607
1167630,Teardown,109418,False,14.99,USD,Action,Paid,6842.901813633521
427520,Factorio,184419,False,35.0,USD,Casual,Paid,5122.75
3419910,Light Up The Town,294,False,13.19,USD,Casual,Paid,20.71881606765328
949230,Cities: Skylines II,56609,False,49.99,USD,Simulation,Paid,1110.1980780545205
